Squad,W,D,L,Pts/MP,GD,xGD,Season,League
Real Sociedad,16,12,10,1.58,12,3.6,2023-2024,La Liga
Betis,14,15,9,1.5,3,-6.3,2023-2024,La Liga
Villarreal,14,11,13,1.39,0,-3.2,2023-2024,La Liga
Valencia,13,10,15,1.29,-5,-4.5,2023-2024,La Liga
Alavés,12,10,16,1.21,-10,1.5,2023-2024,La Liga
Osasuna,12,9,17,1.18,-11,-9.4,2023-2024,La Liga
Getafe,10,13,15,1.13,-12,-8.1,2023-2024,La Liga
Celta Vigo,10,11,17,1.08,-11,-3.8,2023-2024,La Liga
Sevilla,10,11,17,1.08,-6,-11.0,2023-2024,La Liga
Mallorca,8,16,14,1.05,-11,-2.5,2023-2024,La Liga
Las Palmas,10,10,18,1.05,-14,-23.5,2023-2024,La Liga
Rayo Vallecano,8,14,16,1.0,-19,-2.3,2023-2024,La Liga
Cádiz,6,15,17,0.87,-29,-16.3,2023-2024,La Liga
Almería,3,12,23,0.55,-32,-12.9,2023-2024,La Liga
Granada,4,9,25,0.55,-41,-21.6,2023-2024,La Liga
Barcelona,21,4,5,2.23,54,41.2,2024-2025,La Liga
Real Madrid,19,6,5,2.1,32,27.6,2024-2025,La Liga
Atlético Madrid,16,9,4,1.97,24,18.8,2024-2025,La Liga
Athletic Club,14,11,4,1.83,22,17.3,2024-2025,La Liga
Betis,13,9,8,1.6,4,7.7,2024-2025,La Liga
Villarreal,13,8,7,1.68,12,17.7,2024-2025,La Liga
Celta Vigo,12,7,11,1.43,1,9.6,2024-2025,La Liga
Rayo Vallecano,10,10,10,1.33,-2,-1.7,2024-2025,La Liga
Mallorca,11,7,12,1.33,-8,1.6,2024-2025,La Liga
Real Sociedad,11,5,13,1.31,-4,-0.4,2024-2025,La Liga
Sevilla,9,9,11,1.24,-6,-8.4,2024-2025,La Liga
Getafe,9,9,11,1.24,1,-8.5,2024-2025,La Liga
Girona,9,7,14,1.13,-9,-4.0,2024-2025,La Liga
Osasuna,7,13,9,1.17,-9,-10.6,2024-2025,La Liga
Valencia,8,10,12,1.13,-13,-11.3,2024-2025,La Liga
Espanyol,8,8,13,1.1,-9,-20.0,2024-2025,La Liga
Alavés,7,9,14,1.0,-11,-3.2,2024-2025,La Liga
Leganés,6,9,14,0.93,-18,-22.4,2024-2025,La Liga
Las Palmas,6,8,15,0.9,-15,-25.3,2024-2025,La Liga
Valladolid,4,4,21,0.55,-46,-25.7,2024-2025,La Liga
Paris S-G,27,4,7,2.24,49,29.9,2022-2023,Ligue 1
Lens,25,9,4,2.21,39,23.2,2022-2023,Ligue 1
Marseille,22,7,9,1.92,27,22.8,2022-2023,Ligue 1
Rennes,21,5,12,1.79,30,17.3,2022-2023,Ligue 1
Lille,19,10,9,1.76,21,28.2,2022-2023,Ligue 1
Monaco,19,8,11,1.71,12,8.9,2022-2023,Ligue 1
Lyon,18,8,12,1.63,18,9.5,2022-2023,Ligue 1
Clermont Foot,17,8,13,1.55,-4,-10.7,2022-2023,Ligue 1
Nice,15,13,10,1.53,11,12.6,2022-2023,Ligue 1
Lorient,15,10,13,1.45,-1,-13.6,2022-2023,Ligue 1
Reims,12,15,11,1.34,0,8.9,2022-2023,Ligue 1
Montpellier,15,5,18,1.32,3,-10.0,2022-2023,Ligue 1
Toulouse,13,9,16,1.26,-6,-4.5,2022-2023,Ligue 1
Brest,11,11,16,1.16,-10,-12.7,2022-2023,Ligue 1
Strasbourg,9,13,16,1.05,-8,-6.7,2022-2023,Ligue 1
Nantes,7,15,16,0.95,-18,-9.7,2022-2023,Ligue 1
Auxerre,8,11,19,0.92,-28,-15.9,2022-2023,Ligue 1
Ajaccio,7,5,26,0.68,-51,-17.8,2022-2023,Ligue 1
Troyes,4,12,22,0.63,-36,-38.9,2022-2023,Ligue 1
Angers,4,6,28,0.47,-48,-20.8,2022-2023,Ligue 1
Paris S-G,22,10,2,2.24,48,28.8,2023-2024,Ligue 1
Monaco,20,7,7,1.97,26,11.5,2023-2024,Ligue 1
Brest,17,10,7,1.79,19,9.1,2023-2024,Ligue 1
Lille,16,11,7,1.74,18,12.2,2023-2024,Ligue 1
Nice,15,10,9,1.62,11,14.4,2023-2024,Ligue 1
Lyon,16,5,13,1.56,-6,-2.5,2023-2024,Ligue 1
Lens,14,9,11,1.5,8,7.4,2023-2024,Ligue 1
Marseille,13,11,10,1.47,11,19.5,2023-2024,Ligue 1
Reims,13,8,13,1.38,-5,-1.9,2023-2024,Ligue 1
Rennes,12,10,12,1.35,7,11.8,2023-2024,Ligue 1
Toulouse,11,10,13,1.26,-4,-7.8,2023-2024,Ligue 1
Montpellier,10,12,12,1.21,-5,-4.8,2023-2024,Ligue 1
Strasbourg,10,9,15,1.15,-12,-3.5,2023-2024,Ligue 1
Nantes,9,6,19,0.97,-25,-15.5,2023-2024,Ligue 1
Le Havre,7,11,16,0.94,-11,-13.3,2023-2024,Ligue 1
Metz,8,5,21,0.85,-23,-20.3,2023-2024,Ligue 1
Lorient,7,8,19,0.85,-23,-17.3,2023-2024,Ligue 1
Clermont Foot,5,10,19,0.74,-34,-27.6,2023-2024,Ligue 1
Paris S-G,23,5,0,2.64,54,47.4,2024-2025,Ligue 1
Monaco,15,5,8,1.79,19,32.6,2024-2025,Ligue 1
Marseille,15,4,8,1.81,18,12.1,2024-2025,Ligue 1
Lyon,14,6,8,1.71,16,9.2,2024-2025,Ligue 1
Nice,13,8,7,1.68,17,16.5,2024-2025,Ligue 1
Lille,13,8,7,1.68,12,8.4,2024-2025,Ligue 1
Strasbourg,13,7,7,1.7,10,-5.6,2024-2025,Ligue 1
Brest,13,4,11,1.54,1,-7.8,2024-2025,Ligue 1
Lens,11,6,10,1.44,1,3.7,2024-2025,Ligue 1
Auxerre,9,8,10,1.3,-1,-10.5,2024-2025,Ligue 1
Toulouse,9,7,11,1.26,2,10.3,2024-2025,Ligue 1
Rennes,10,2,15,1.19,1,0.3,2024-2025,Ligue 1
Nantes,7,9,12,1.07,-14,-15.3,2024-2025,Ligue 1
Angers,7,6,15,0.96,-20,-16.4,2024-2025,Ligue 1
Reims,6,8,13,0.96,-12,-15.7,2024-2025,Ligue 1
Le Havre,7,3,17,0.89,-28,-15.4,2024-2025,Ligue 1
Saint-Étienne,5,5,16,0.77,-37,-32.1,2024-2025,Ligue 1
Montpellier,4,3,19,0.58,-39,-21.7,2024-2025,Ligue 1
